gene_symbol	gene_symbol_long	_identifier	primary
HK15	root preferential, Histidine Kinase 15	glyma.Wm82.gnm1.ann1.Glyma02g09550	1
VQ4	VQ motif containing protein gene 4	glyma.Wm82.gnm1.ann1.Glyma02g29281	1
VQ11	VQ motif containing protein gene 11	glyma.Wm82.gnm1.ann1.Glyma04g11190	1
PAP10	Purple acid phosphatase gene 10	glyma.Wm82.gnm1.ann1.Glyma05g33640	1
SR1	Serine racemase-1 involved in D-Serine biosynthetic process gene	glyma.Wm82.gnm1.ann1.Glyma05g37930	1
NAC071	NAC domain-containing protein gene 71	glyma.Wm82.gnm1.ann1.Glyma10g04350	1
SYP38	syntaxin gene	glyma.Wm82.gnm1.ann1.Glyma14g06610	1
MTO3	METHIONINE OVER-ACCUMULATOR 3 gene	glyma.Wm82.gnm1.ann1.Glyma17g04330	1
GI2	Gigantea protein gene 2	glyma.Wm82.gnm1.ann1.Glyma20g30980	1
HP05	Ubiquitous, Phosphotransfer Protein gene 5	glyma.Wm82.gnm1.ann1.Glyma20g37450	1
ARF01	Auxin Responsive Factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G002100	1
B3-01	B3 Transcription Factor gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G002100	0
NCED16	9-cis-epoxy Carotenoid Dioxygenase gene 16	glyma.Wm82.gnm2.ann1.Glyma.01G002100	0
MYB128	MYB transcription factor 128 gene	glyma.Wm82.gnm2.ann1.Glyma.01G003000	1
PPR1	Pentatricopeptide-Repeat protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G003400	1
PPR2	Pentatricopeptide-Repeat protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G004400	1
NAC001	NAC domain-containing protein gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G005500	1
ARGS	arginyl-tRNA synthetase	glyma.Wm82.gnm2.ann1.Glyma.01G006400	1
IQD1	protein IQ-DOMAIN gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G007000	1
ABCB8-1	ABC transporter B family member 8 gene 1	glyma.Wm82.gnm2.ann1.Glyma.01G008200	1
ABCB14	ATP-Binding Cassette B/P-Glycoprotein gene 14	glyma.Wm82.gnm2.ann1.Glyma.01G008200	0
GBP2	GAMYB-binding protein gene 2	glyma.Wm82.gnm2.ann1.Glyma.01G008600	1
RDR3	RNA-dependent RNA polymerase gene 3	glyma.Wm82.gnm2.ann1.Glyma.01G008700	1
