#gene_symbol	gene_symbol_long	identifier	primary
VQ1	VQ motif containing protein gene 1	glyma.Wm82.gnm1.ann1.Glyma01G02280	1
EXPA1	alpha-expansin gene 1	glyma.Wm82.gnm1.ann1.Glyma01G06030	1
EXPA2	alpha-expansin gene 2	glyma.Wm82.gnm1.ann1.Glyma01G06031	1
EXPA3	alpha-expansin gene 3	glyma.Wm82.gnm1.ann1.Glyma01G06032	1
EXPA4	alpha-expansin gene 4	glyma.Wm82.gnm1.ann1.Glyma01G06033	1
EXPA5	alpha-expansin gene 5	glyma.Wm82.gnm1.ann1.Glyma01G06034	1
EXPA6	alpha-expansin gene 6	glyma.Wm82.gnm1.ann1.Glyma01G06035	1
EXPA7	alpha-expansin gene 7	glyma.Wm82.gnm1.ann1.Glyma01G06036	1
EXPA8	alpha-expansin gene 8	glyma.Wm82.gnm1.ann1.Glyma01G06037	1
EXPA9	alpha-expansin gene 9	glyma.Wm82.gnm1.ann1.Glyma01G06038	1
EXPA10	alpha-expansin gene 10	glyma.Wm82.gnm1.ann1.Glyma01G06039	1
EXPA11	alpha-expansin gene 11	glyma.Wm82.gnm1.ann1.Glyma01G06040	1
EXPA12	alpha-expansin gene 12	glyma.Wm82.gnm1.ann1.Glyma01G06041	1
EXPA13	alpha-expansin gene 13	glyma.Wm82.gnm1.ann1.Glyma01G06042	1
EXPA14	alpha-expansin gene 14	glyma.Wm82.gnm1.ann1.Glyma01G06043	1
EXPA15	alpha-expansin gene 15	glyma.Wm82.gnm1.ann1.Glyma01G06044	1
EXPA16	alpha-expansin gene 16	glyma.Wm82.gnm1.ann1.Glyma01G06045	1
EXPA17	alpha-expansin gene 17	glyma.Wm82.gnm1.ann1.Glyma01G06046	1
EXPA18	alpha-expansin gene 18	glyma.Wm82.gnm1.ann1.Glyma01G06047	1
EXPA19	alpha-expansin gene 19	glyma.Wm82.gnm1.ann1.Glyma01G06048	1
EXPA20	alpha-expansin gene 20	glyma.Wm82.gnm1.ann1.Glyma01G06049	1
EXPA21	alpha-expansin gene 21	glyma.Wm82.gnm1.ann1.Glyma01G06050	1
EXPA22	alpha-expansin gene 22	glyma.Wm82.gnm1.ann1.Glyma01G06051	1
EXPA23	alpha-expansin gene 23	glyma.Wm82.gnm1.ann1.Glyma01G06052	1
EXPA24	alpha-expansin gene 24	glyma.Wm82.gnm1.ann1.Glyma01G06053	1
EXPA25	alpha-expansin gene 25	glyma.Wm82.gnm1.ann1.Glyma01G06054	1
EXPA26	alpha-expansin gene 26	glyma.Wm82.gnm1.ann1.Glyma01G06055	1
EXPA27	alpha-expansin gene 27	glyma.Wm82.gnm1.ann1.Glyma01G06056	1
EXPA28	alpha-expansin gene 28	glyma.Wm82.gnm1.ann1.Glyma01G06057	1
EXPA29	alpha-expansin gene 29	glyma.Wm82.gnm1.ann1.Glyma01G06058	1
EXPA30	alpha-expansin gene 30	glyma.Wm82.gnm1.ann1.Glyma01G06059	1
EXPA31	alpha-expansin gene 31	glyma.Wm82.gnm1.ann1.Glyma01G06060	1
EXPA32	alpha-expansin gene 32	glyma.Wm82.gnm1.ann1.Glyma01G06061	1
EXPA33	alpha-expansin gene 33	glyma.Wm82.gnm1.ann1.Glyma01G06062	1
EXPA34	alpha-expansin gene 34	glyma.Wm82.gnm1.ann1.Glyma01G06063	1
EXPA35	alpha-expansin gene 35	glyma.Wm82.gnm1.ann1.Glyma01G06064	1
EXPA36	alpha-expansin gene 36	glyma.Wm82.gnm1.ann1.Glyma01G06065	1
EXPA37	alpha-expansin gene 37	glyma.Wm82.gnm1.ann1.Glyma01G06066	1
EXPA38	alpha-expansin gene 38	glyma.Wm82.gnm1.ann1.Glyma01G06067	1
EXPA39	alpha-expansin gene 39	glyma.Wm82.gnm1.ann1.Glyma01G06068	1
EXPA40	alpha-expansin gene 40	glyma.Wm82.gnm1.ann1.Glyma01G06069	1
EXPA41	alpha-expansin gene 41	glyma.Wm82.gnm1.ann1.Glyma01G06070	1
EXPA42	alpha-expansin gene 42	glyma.Wm82.gnm1.ann1.Glyma01G06071	1
EXPA43	alpha-expansin gene 43	glyma.Wm82.gnm1.ann1.Glyma01G06072	1
EXPA44	alpha-expansin gene 44	glyma.Wm82.gnm1.ann1.Glyma01G06073	1
EXPA45	alpha-expansin gene 45	glyma.Wm82.gnm1.ann1.Glyma01G06074	1
EXPA46	alpha-expansin gene 46	glyma.Wm82.gnm1.ann1.Glyma01G06075	1
EXPA47	alpha-expansin gene 47	glyma.Wm82.gnm1.ann1.Glyma01G06076	1
EXPA48	alpha-expansin gene 48	glyma.Wm82.gnm1.ann1.Glyma01G06077	1
EXPA49	alpha-expansin gene 49	glyma.Wm82.gnm1.ann1.Glyma01G06078	1
VQ2	VQ motif containing protein gene 2	glyma.Wm82.gnm1.ann1.Glyma01G12940	1
EXPB1	beta-expansin gene 1	glyma.Wm82.gnm1.ann1.Glyma01G16140	1
P5CS1	DELTA1-PYRROLINE-5-CARBOXYLATE SYNTHASE 1	glyma.Wm82.gnm1.ann1.Glyma01G24530	1
FAD8	Fatty acid desaturase 8	glyma.Wm82.gnm1.ann1.Glyma01G29630	1
EXLB1	expansin-like B gene 1	glyma.Wm82.gnm1.ann1.Glyma01G35070	1
DGAT2D	diacylglycerol acyltransferase 2 gene D	glyma.Wm82.gnm1.ann1.Glyma01G36010	1
HK07	Ubiquitous, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma01G36950	1
N:IFR	Isoflavone Reductase	glyma.Wm82.gnm1.ann1.Glyma01G37810	1
VQ3	VQ motif containing protein gene 3	glyma.Wm82.gnm1.ann1.Glyma01G40320	1
PRR48	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma01G40900	1
EXLB2	expansin-like B gene 2	glyma.Wm82.gnm1.ann1.Glyma01G41050	1
EXLB3	expansin-like B gene 3	glyma.Wm82.gnm1.ann1.Glyma01G41330	1
D1	D1	glyma.Wm82.gnm1.ann1.Glyma01G42390	1
PLD-gamma	Phospholipase D gamma	glyma.Wm82.gnm1.ann1.Glyma01G42420	1
RR01	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma02G03140	1
FDL02	Flowering Locus D-like gene 2	glyma.Wm82.gnm1.ann1.Glyma02G05100	1
HK09	Ubiquitous, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma02G05220	1
FT	FLOWERING LOCUS T  	glyma.Wm82.gnm1.ann1.Glyma02G07650	1
NAC006	NAC Transcription Factor gene 6	glyma.Wm82.gnm1.ann1.Glyma02G07700	1
2A6		glyma.Wm82.gnm1.ann1.Glyma02G09290	1
HK15	root preferential, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma02G09550	1
SWEET1	sucrose effluxer gene 1	glyma.Wm82.gnm1.ann1.Glyma02G09710	1
Actin11	Actin 11	glyma.Wm82.gnm1.ann1.Glyma02G10170	1
PAP1	Purple acid phosphatase gene 1	glyma.Wm82.gnm1.ann1.Glyma02G13070	1
SACPD-B	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm1.ann1.Glyma02G15600	1
HTA8	HISTONE H2A 8	glyma.Wm82.gnm1.ann1.Glyma02G16150	1
HP09	Ubiquitous, Phosphotransfer Protein	glyma.Wm82.gnm1.ann1.Glyma02G16980	1
COL13	Constans-like 13	glyma.Wm82.gnm1.ann1.Glyma02G17181	1
LSD1	Lys-Specific Demethylase 1	glyma.Wm82.gnm1.ann1.Glyma02G18610	1
NAC011	NAC Transcription Factor gene 11	glyma.Wm82.gnm1.ann1.Glyma02G26480	1
